id,game,score,leaderbord,gamers,comp_perc,rating,min_comp_time,max_comp_time,recommend to play
0,A Boy and His Blob,638,2.02,2194,16.5,3.2,15,20,recommended
1,A Hat in Time,1992,1.53,7062,35.9,4.2,15,20,recommended
2,A Hero and a Garden,1364,1.01,503,97.6,5,0,1,recommended
3,A Hero and a Garden (EU),1363,1.01,581,97.8,2.9,0,1,not recommended
4,A King's Tale: Final Fantasy XV,637,2.02,21914,14.1,3.3,4,5,recommended
5,A Plague Tale: Innocence,1691,1.34,22221,44.3,4.3,15,20,recommended
6,A Summer with the Shiba Inu,1372,1.02,640,96.1,2.7,0,1,not recommended
7,A Summer with the Shiba Inu (Asia),1359,1.01,377,98.7,2.8,0,1,not recommended
8,A Summer with the Shiba Inu (EU),1376,1.02,719,95.7,1.7,0,1,not recommended
9,A Way Out,1793,1.36,51657,46.6,4,6,8,recommended
10,A Winter's Daydream,1303,1.01,2249,98,2.1,0,1,not recommended
11,A Winter's Daydream (EU),1303,1.01,2332,97.8,2.3,0,1,not recommended
12,Aaru's Awakening,585,1.86,2681,23.4,2.5,6,8,not recommended
13,Absolute Drift: Zen Edition,1992,1.56,3418,27.1,3.3,8,10,recommended
14,Abyss: The Wraiths of Eden,1350,1.06,1881,83.2,3.4,5,6,recommended
15,ABZÛ,525,1.75,38538,22.1,3.7,3,4,recommended
16,ACA NEOGEO AERO FIGHTERS 2,315,1.11,860,67.3,3.2,0,1,recommended
17,ACA NEOGEO AERO FIGHTERS 3,309,1.08,297,76.1,3.8,0,1,recommended
18,ACA NEOGEO ART OF FIGHTING,310,1.09,460,77,2.5,0,1,not recommended
19,ACA NEOGEO BURNING FIGHT,324,1.14,424,67.2,2.7,0,1,not recommended
20,ACA NEOGEO FATAL FURY,307,1.08,390,73.3,2.2,0,1,not recommended
21,ACA NEOGEO FATAL FURY 2,300,1.05,431,82.4,2.2,0,1,not recommended
22,ACA NEOGEO GALAXY FIGHT: UNIVERSAL WARRIORS,305,1.07,228,79.8,2.2,0,1,not recommended
23,ACA NEOGEO GHOST PILOTS,319,1.12,352,67.9,3.1,0,1,recommended
24,ACA NEOGEO METAL SLUG,318,1.12,1043,66.3,3.4,0,1,recommended
25,ACA NEOGEO NAM-1975,310,1.09,537,77.5,3,0,1,not recommended
26,ACA NEOGEO PULSTAR,338,1.19,300,55,3.5,0,1,recommended
27,ACA NEOGEO SAMURAI SHODOWN,320,1.12,668,69.2,2.9,0,1,not recommended
28,ACA NEOGEO SENGOKU,315,1.11,422,69.7,3,0,1,not recommended
29,ACA NEOGEO SENGOKU 2,310,1.09,236,76.3,2.9,0,1,not recommended
30,ACA NEOGEO SHOCK TROOPERS,316,1.11,292,68.8,4.1,0,1,recommended
31,ACA NEOGEO THE KING OF FIGHTERS '94,318,1.12,640,70.6,2.9,0,1,not recommended
32,ACA NEOGEO THE KING OF FIGHTERS '95,310,1.09,430,76,2.9,0,1,not recommended
33,ACA NEOGEO THE KING OF FIGHTERS '96,306,1.07,431,79.8,3,0,1,not recommended
34,ACA NEOGEO THE LAST BLADE,307,1.08,329,79.9,2.6,0,1,not recommended
35,ACA NEOGEO WORLD HEROES,301,1.06,468,82.1,2.6,0,1,not recommended
36,ACA NEOGEO WORLD HEROES 2,314,1.1,373,74.3,2.7,0,1,not recommended
37,ACA NEOGEO ZED BLADE,311,1.09,393,72.3,2.9,0,1,not recommended
38,Access Denied,1378,1.02,2414,94.3,2.4,0,1,not recommended
39,Access Denied (Asia),1363,1.01,1104,97.2,2.2,0,1,not recommended
40,Access Denied (EU),1381,1.02,3857,93.8,2.1,0,1,not recommended
41,Accounting+,1797,1.33,6124,18.1,3.7,1,2,recommended
42,ACT IT OUT! A Game of Charades,380,1.21,2421,58.7,2,0,1,not recommended
43,Active Neurons - Puzzle Game,1373,1.03,758,92.6,2,1,2,not recommended
44,Active Neurons - Puzzle Game (EU),1364,1.02,1012,94.3,2.1,0,1,not recommended
45,Active Soccer 2 DX (EU),444,1.56,917,29.3,2.5,6,8,not recommended
46,Adam's Venture: Origins,1417,1.07,9678,84.3,2.3,3,4,not recommended
47,Adventure Time: Finn and Jake Investigations,1559,1.21,4745,58.7,3.1,6,8,recommended
48,Adventure Time: Pirates of the Enchiridion,1997,1.48,6238,39.4,3,8,10,not recommended
49,Adventures of Pip,520,1.65,1178,26.8,3.8,6,8,recommended
50,AER - Memories of Old,1373,1.09,2176,81,3.3,3,4,recommended
51,AER - Memories of Old (EU),1364,1.08,2633,81.8,2.8,2,3,not recommended
